128
256
0
  (78,46)       1
 (112,46)       1
  (32,47)       1
  (47,47)       1
  (49,47)       1
  (79,47)       1
 (113,47)       1
   (1,48)       1
  (48,48)       1
  (50,48)       1
  (80,48)       1
 (114,48)       1
   (2,49)       1
  (49,49)       1
  (51,49)       1
  (81,49)       1
 (115,49)       1
   (3,50)       1
  (50,50)       1
  (52,50)       1
  (82,50)       1
 (116,50)       1
   (4,51)       1
  (51,51)       1
  (53,51)       1
  (83,51)       1
 (117,51)       1
   (5,52)       1
  (52,52)       1
  (54,52)       1
  (84,52)       1
 (118,52)       1
   (6,53)       1
  (53,53)       1
  (55,53)       1
  (85,53)       1
 (119,53)       1
   (7,54)       1
  (54,54)       1
  (56,54)       1
  (86,54)       1
 (120,54)       1
   (8,55)       1
  (55,55)       1
  (57,55)       1
  (87,55)       1
 (121,55)       1
   (9,56)       1
  (56,56)       1
  (58,56)       1
  (88,56)       1
 (122,56)       1
  (10,57)       1
  (57,57)       1
  (59,57)       1
  (89,57)       1
 (123,57)       1
  (11,58)       1
  (58,58)       1
  (60,58)       1
  (90,58)       1
 (124,58)       1
  (12,59)       1
  (59,59)       1
  (61,59)       1
  (91,59)       1
 (125,59)       1
  (13,60)       1
  (60,60)       1
  (62,60)       1
  (92,60)       1
 (126,60)       1
  (14,61)       1
  (61,61)       1
  (63,61)       1
  (93,61)       1
 (127,61)       1
  (15,62)       1
  (62,62)       1
  (64,62)       1
  (94,62)       1
 (128,62)       1
  (16,63)       1
  (33,63)       1
  (63,63)       1
  (95,63)       1
  (97,63)       1
  (17,64)       1
  (34,64)       1
  (64,64)       1
  (96,64)       1
  (98,64)       1
   (8,65)       1
  (36,65)       1
  (65,65)       1
  (69,65)       1
 (128,65)       1
   (9,66)       1
  (37,66)       1
  (66,66)       1
  (70,66)       1
  (97,66)       1
  (10,67)       1
  (38,67)       1
  (67,67)       1
  (71,67)       1
  (98,67)       1
  (11,68)       1
  (39,68)       1
  (68,68)       1
  (72,68)       1
  (99,68)       1
  (12,69)       1
  (40,69)       1
  (69,69)       1
  (73,69)       1
 (100,69)       1
  (13,70)       1
  (41,70)       1
  (70,70)       1
  (74,70)       1
 (101,70)       1
  (14,71)       1
  (42,71)       1
  (71,71)       1
  (75,71)       1
 (102,71)       1
  (15,72)       1
  (43,72)       1
  (72,72)       1
  (76,72)       1
 (103,72)       1
  (16,73)       1
  (44,73)       1
  (73,73)       1
  (77,73)       1
 (104,73)       1
  (17,74)       1
  (45,74)       1
  (74,74)       1
  (78,74)       1
 (105,74)       1
  (18,75)       1
  (46,75)       1
  (75,75)       1
  (79,75)       1
 (106,75)       1
  (19,76)       1
  (47,76)       1
  (76,76)       1
  (80,76)       1
 (107,76)       1
  (20,77)       1
  (48,77)       1
  (77,77)       1
  (81,77)       1
 (108,77)       1
  (21,78)       1
  (49,78)       1
  (78,78)       1
  (82,78)       1
 (109,78)       1
  (22,79)       1
  (50,79)       1
  (79,79)       1
  (83,79)       1
 (110,79)       1
  (23,80)       1
  (51,80)       1
  (80,80)       1
  (84,80)       1
 (111,80)       1
  (24,81)       1
  (52,81)       1
  (81,81)       1
  (85,81)       1
 (112,81)       1
  (25,82)       1
  (53,82)       1
  (82,82)       1
  (86,82)       1
 (113,82)       1
  (26,83)       1
  (54,83)       1
  (83,83)       1
  (87,83)       1
 (114,83)       1
  (27,84)       1
  (55,84)       1
  (84,84)       1
  (88,84)       1
 (115,84)       1
  (28,85)       1
  (56,85)       1
  (85,85)       1
  (89,85)       1
 (116,85)       1
  (29,86)       1
  (57,86)       1
  (86,86)       1
  (90,86)       1
 (117,86)       1
  (30,87)       1
  (58,87)       1
  (87,87)       1
  (91,87)       1
 (118,87)       1
  (31,88)       1
